name,symbol,price,market_cap,volume_24h,percent_change_24h
Bitcoin,BTC,97429.00482814819,1931463281849.7305,32654922295.8151,0.85148394
Ethereum,ETH,2738.227317635829,330087169549.491,17556713649.74941,2.4134929
XRP,XRP,2.733579331414629,158052454042.82684,9142068504.239872,5.29655912
Tether USDt,USDT,1.000180172795909,141830738463.93042,81409074858.22931,0.01667071
Solana,SOL,200.7306382485956,98014501209.70674,3448082923.785198,2.98255381
BNB,BNB,659.5659090332434,93973571111.64026,2566431177.4026995,-2.00467949
USDC,USDC,0.9999239860127298,56337962383.12202,8394163908.7885475,-0.00346949
Dogecoin,DOGE,0.2736113975962347,40507526173.99271,2270259094.0327244,3.59625952
Cardano,ADA,0.8052427972063863,28345507539.773888,797594457.4672375,-2.50281717
TRON,TRX,0.23200150672408676,19974404567.939102,524127607.6830468,-1.47169358
Chainlink,LINK,19.508817407009357,12448575810.981482,430073131.02078366,4.88746851
Sui,SUI,3.576283688704609,11049669442.595413,1024892894.3038335,1.50102209
Avalanche,AVAX,26.45516050609762,10898506538.404171,334230572.1151727,3.6256338
Stellar,XLM,0.35123813486013794,10752457061.363272,427066551.6576187,2.67943599
Shiba Inu,SHIB,1.6764581047711238e-05,9878594482.415382,306393472.93188363,2.36686585
Hedera,HBAR,0.23293887297253235,9729768779.898489,321863470.9069573,2.70596536
Toncoin,TON,3.8628810977071746,9635090242.25553,126549375.22552222,2.87250094
Litecoin,LTC,126.64353122613623,9565774494.374802,1546834181.2441058,0.08773361
UNUS SED LEO,LEO,9.839982495169465,9093398461.680653,758097.20395435,0.63042028
Hyperliquid,HYPE,26.203981511554662,8750247854.907097,210419255.82618746,0.8659859
Polkadot,DOT,5.229079782462544,8098912676.5423975,212228296.05291626,1.39961371
MANTRA,OM,7.078568151664428,6882762932.72117,312065044.4560116,25.30888451
Bitcoin Cash,BCH,342.93816681878536,6800287020.524248,246032838.8956744,1.62995546
Bitget Token,BGB,5.559870976878687,6671845172.254425,262547916.20805627,1.19176834
Uniswap,UNI,10.139751734664506,6089103814.567298,188157419.36193544,3.07664379
Ethena USDe,USDe,1.000067154634097,5987733114.24535,100534570.14637713,0.01457716
Dai,DAI,0.9999153214836934,5364928370.018193,226330165.71987846,-0.02770133
Pepe,PEPE,1.028705396387704e-05,4327659699.794019,720768123.7534394,5.78131722
OFFICIAL TRUMP,TRUMP,21.340703306862693,4268132476.153361,5772610431.35514,30.22535566
NEAR Protocol,NEAR,3.580190707110282,4240269920.0110264,208149012.0771715,5.49040233
Ondo,ONDO,1.332900129930496,4210774835.868508,300118555.3185788,-0.08090074
